Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
7480233370,"Jul 16, 2022, 1:00:00 PM",Castelmonte,Ride,"",18600,64.60,,,false,"",Rottame DTA,,,,18600.0,18600.0,64600.0,,3.473118305206299,640.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,3.473118305206299,0.0,,,,,,,,,,,,media/597213c9-eaa3-4063-be96-64fdf28c3e1e.jpg|media/d0dbe5f3-3df5-4f73-b5b9-b56674b56092.jpg
7480252611,"Jul 14, 2022, 4:00:00 PM",Sedilis,Ride,"",12600,52.80,,,false,"",Rottame DTA,,,,12600.0,12600.0,52800.0,,4.190476417541504,320.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,4.190476417541504,0.0,,,,,,,,,,,,media/78277dd7-1e11-4aec-8fb7-4cdfd9586fd0.jpg
7480269567,"Jul 2, 2022, 4:30:00 PM",Abbazia di Rosazzo,Ride,"",8100,36.30,,,false,"",Rottame DTA,,,,8100.0,8100.0,36300.0,,4.481481552124023,170.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,4.481481552124023,0.0,,,,,,,,,,,,""
7501129268,"Jul 20, 2022, 4:16:11 PM",Ruota Bucata,Ride,"",2628,14.82,,,false,"",Rottame DTA,activities/7501129268.gpx,,,2628.0,2563.0,14823.830078125,9.5880126953125,5.783780574798584,27.959999084472656,46.459999084472656,96.5999984741211,134.8000030517578,6.060619831085205,-0.12749741971492767,,,,,,,,136.5167999267578,390.13018798828125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,5.6407270431518555,0.0,,,,,,,,,,,,""
7514385816,"Jul 23, 2022, 5:52:15 AM",Prepotto e le sue frazioni,Ride,"Nice ride attraverso le frazioni di Prepotto:
Castelmonte, Oborza, Podresca, Cras, Bodigoi, Albana",17799,65.44,,,false,"",Rottame DTA,activities/7514385816.gpx,,,17799.0,16231.0,65441.4296875,13.841796875,4.03187894821167,655.996337890625,655.6561279296875,84.69999694824219,616.4000244140625,25.914209365844727,0.00015280839579645544,,,,,,,,125.43022918701172,2269.981689453125,,,,,,,,,7.0,,,,,0.0,518.0,0.0,,1.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,3.6766912937164307,0.0,,,,,,,,,,,,media/690bf72f-5d81-4949-86d2-0ad58c90fbaa.jpg|media/b80d8f99-8a79-402f-ac33-4c84df0ddcb9.jpg|media/df8ca53e-a01f-4f4f-8353-77e99cde9ffd.jpg|media/3aef20c5-46df-4ea9-af0c-d4d87246d9c0.jpg
7519338308,"Jul 24, 2022, 6:06:37 AM",Morning Ride,Ride,"",10441,49.10,,,false,"",Rottame DTA,activities/7519338308.gpx,,,10441.0,10020.0,49099.26171875,12.24609375,4.900125980377197,265.40313720703125,265.6012268066406,61.5,166.6999969482422,24.323040008544922,-0.0004073381132911891,,,,,,,,128.5379638671875,1436.0645751953125,,,,,,,,,5.0,,,,,0.0,180.0,0.0,,1.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,4.702544212341309,4265.5,,,,,,,,,,,,""
7630462773,"Aug 13, 2022, 5:22:39 AM",Matajur🦍,Ride,"Lezione imparata: battery saver del telefono fa perdere strada al recording.
Actual km: 84.4 km",21619,77.32,,,false,"",Rottame DTA,activities/7630462773.gpx,,,21619.0,19474.0,77320.5703125,19.148046493530273,3.9704513549804688,893.4815063476562,893.5114135742188,103.9000015258789,941.2999877929688,47.48735427856445,-0.0002586633781902492,,,,,,,,140.0692138671875,3041.394287109375,,,,,,,,,9.0,,,,,0.0,973.0,0.0,,1.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,3.576509952545166,145.1999969482422,,,,,,,,,,,,media/ffbc34b8-42ba-4855-9a9b-da9d81e70197.jpg|media/3747a95a-7964-457c-9822-74e77cfcdbcb.jpg|media/9d44c746-aeec-489b-a599-d8318fe07081.jpg
7784432819,"Sep 10, 2022, 6:17:37 AM",Morning Ride,Ride,"",18402,66.18,,,false,"",Rottame DTA,activities/7784432819.gpx,,,18402.0,16196.0,66186.9375,13.800000190734863,4.08662223815918,723.4566040039062,722.8936157226562,103.9000015258789,738.5999755859375,38.335365295410156,0.0003021744196303189,,,,,,,,136.21261596679688,2459.801025390625,,,,,,,,,8.0,,,,,0.0,697.0,0.0,,1.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,3.5967252254486084,2109.800048828125,,,,,,,,,,,,media/7772239c-7adc-4b82-a3be-78a34c20b518.jpg|media/c30594f1-f42a-4253-8912-b4468d70bd78.jpg|media/2e30ea23-1c1e-4280-a82a-7daf1500b4b6.jpg
8000432004,"Oct 22, 2022, 6:18:33 AM",Back in Veneto,Ride,"",10765,52.75,185.0,248,false,"",Rottame DTA,activities/8000432004.gpx,,,10765.0,10476.0,52750.21875,14.748046875,5.035339832305908,376.0019226074219,377.76025390625,13.899999618530273,285.1000061035156,13.794342041015625,0.00018957267457153648,,,,,,150.41632080078125,,137.1399688720703,1601.8963623046875,,,248.0,,,,,,6.0,,,,,0.0,276.0,0.0,,1.0,,,,,,,,,,,,,,,,14433728.0,,,,,,,,,,,0.0,4.90015983581543,79.4000015258789,,,,,,,,,,,,""
8041993081,"Oct 30, 2022, 7:00:32 AM",Berico-Giaretta-Sasso,Ride,"",17144,75.12,,,false,"",Kross Vento 5.0,activities/8606036671.fit.gz,,,17144.0,15322.0,75126.6328125,16.41796875,4.903187274932861,674.0,655.0,21.200000762939453,331.3999938964844,49.919002532958984,0.010914904996752739,,,,,,,,,1218.0,,23.0,,,,,,,3.0,,,,,0.0,127.0,0.0,,1.0,,,,,,,,,,,,,,,,11685373.0,,,,,,,,,,,0.0,4.382094860076904,4382.2998046875,,,,,,,,,,,,media/6e5f8457-634e-4b8b-bcf3-09a81972ecd1.jpg
8051572039,"Nov 1, 2022, 5:54:45 AM",Spooky season🎃🎃,Ride,,15178,74.01,194.0,352,false,,Kross Vento 5.0,activities/8051572039.gpx,,9.899999618530273,15178.0,14209.0,74011.8203125,17.667707443237305,5.208798885345459,877.99365234375,877.99365234375,9.600000381469727,285.1000061035156,47.514949798583984,0.0,,,,,,150.6822052001953,,,,,,352.0,,,,,,5.0,,,,,0.0,256.0,0.0,,1.0,,,,,,,,,,,,,,,,11685373.0,,,,,,,,,,,0.0,4.876256465911865,503.5,,,,,,,,,,,,""
8070259628,"Nov 5, 2022, 6:11:06 AM",Red light...green light🚦,Ride,,8178,55.34,182.0,283,false,,Kross Vento 5.0,activities/8070259628.gpx,,9.75,8178.0,7505.0,55344.19921875,11.346094131469727,7.374310493469238,46.403404235839844,46.1034049987793,7.699999809265137,22.100000381469727,6.732753276824951,0.0005420622183009982,,,,,,162.7351531982422,,,,,,283.0,,,,,,3.0,,,,,0.0,62.0,0.0,,1.0,,,,,,,,,,,,,,,,11685373.0,,,,,,,,,,,0.0,6.767449378967285,329.1000061035156,,,,,,,,,,,,""
8107144631,"Nov 12, 2022, 9:16:34 AM",Primo centello🤩,Ride,"",21353,101.00,,,false,"",Kross Vento 5.0,activities/8107144631.gpx,,9.75,21353.0,19493.0,101007.953125,17.616016387939453,5.181755065917969,1205.4571533203125,1204.6600341796875,5.0,355.1000061035156,43.41436004638672,0.000792016857303679,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,622.0,0.0,,1.0,,,,,,,,,,,,,,,,11685373.0,,,,,,,,,,,0.0,4.730387210845947,407.6000061035156,,,,,,,,,,,,media/bbfe8396-340d-42f7-a047-128eb17e0513.jpg|media/3fa13d96-4cd2-48c9-917d-82ddf72e1903.jpg
